floy_id,species,mussel_id,X4.28.2017,X4.29.2017,X4.30.2017,X8.1.2017,X8.2.2017,X8.3.2017,X11.10.2017,X11.11.2017,X11.12.2017,X4.20.2018,X4.21.2018,X4.22.2018,X8.10.2018,X8.11.2018,X8.12.2018
W258W260,AMPL,W258W260-AMPL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
W261W263,AMPL,W261W263-AMPL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W262W264,AMPL,W262W264-AMPL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W265W266,AMPL,W265W266-AMPL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
W267W269,AMPL,W267W269-AMPL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
W268W270,AMPL,W268W270-AMPL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
W274W276,AMPL,W274W276-AMPL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
W275,AMPL,W275-AMPL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
W278W281,AMPL,W278W281-AMPL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
W279W277,AMPL,W279W277-AMPL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W280W283,AMPL,W280W283-AMPL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
W285W290,AMPL,W285W290-AMPL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W287W289,AMPL,W287W289-AMPL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W292W294,AMPL,W292W294-AMPL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W301,QUPE,W301-QUPE,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
W302,AMPL,W302-AMPL,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
W303,AMPL,W303-AMPL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W304,AMPL,W304-AMPL,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
W305,AMPL,W305-AMPL,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
W306,AMPL,W306-AMPL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W307,QUHO,W307-QUHO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W308,QUHO,W308-QUHO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W309,QUHO,W309-QUHO,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
W310,AMPL,W310-AMPL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W312,AMPL,W312-AMPL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W313,AMPL,W313-AMPL,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
W315,AMPL,W315-AMPL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W316,AMPL,W316-AMPL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W317,QUHO,W317-QUHO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W318,QUPE,W318-QUPE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W319,AMPL,W319-AMPL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W320,AMPL,W320-AMPL,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
W321,AMPL,W321-AMPL,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
W322,AMPL,W322-AMPL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W323,AMPL,W323-AMPL,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
W324,AMPL,W324-AMPL,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
W325,AMPL,W325-AMPL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W327,AMPL,W327-AMPL,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
W327,QUPE,W327-QUPE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W328,QUHO,W328-QUHO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W329,AMPL,W329-AMPL,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
W331,AMPL,W331-AMPL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W332,AMPL,W332-AMPL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W336,QUPE,W336-QUPE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W337,QUHO,W337-QUHO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W338,QUHO,W338-QUHO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W339,AMPL,W339-AMPL,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
W340,AMPL,W340-AMPL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W342,AMPL,W342-AMPL,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
W343,AMPL,W343-AMPL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W344,AMPL,W344-AMPL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W346,QUHO,W346-QUHO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W347,QUPE,W347-QUPE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W348,QUHO,W348-QUHO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W351,AMPL,W351-AMPL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W353,AMPL,W353-AMPL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W354,AMPL,W354-AMPL,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
W354,QUHO,W354-QUHO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W355,AMPL,W355-AMPL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W356,QUHO,W356-QUHO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W357,QUHO,W357-QUHO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W358,QUHO,W358-QUHO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W362,AMPL,W362-AMPL,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
W364,AMPL,W364-AMPL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W366,QUPE,W366-QUPE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W367,QUHO,W367-QUHO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W368,QUHO,W368-QUHO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W369,AMPL,W369-AMPL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W370,AMPL,W370-AMPL,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
W372,AMPL,W372-AMPL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W374,AMPL,W374-AMPL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W375,AMPL,W375-AMPL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W376,QUPE,W376-QUPE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W377,QUPE,W377-QUPE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W378,QUPE,W378-QUPE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W379,AMPL,W379-AMPL,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
W381,AMPL,W381-AMPL,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
W383,AMPL,W383-AMPL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W384,AMPL,W384-AMPL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W385,AMPL,W385-AMPL,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
W386,QUHO,W386-QUHO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W386W388,AMPL,W386W388-AMPL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
W387,QUHO,W387-QUHO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W389,AMPL,W389-AMPL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W390,AMPL,W390-AMPL,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
W391,AMPL,W391-AMPL,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
W392W393,AMPL,W392W393-AMPL,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
W394,AMPL,W394-AMPL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W395,AMPL,W395-AMPL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W396,QUPE,W396-QUPE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W396W397,AMPL,W396W397-AMPL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
W397,QUHO,W397-QUHO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W398,QUHO,W398-QUHO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W398W399,AMPL,W398W399-AMPL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
