floy_id,pit_id,species,mussel_id
W913W922,,AMPL,W913W922-AMPL
W914W915,,AMPL,W914W915-AMPL
W916W917,,AMPL,W916W917-AMPL
W919W920,,AMPL,W919W920-AMPL
W923W924,,AMPL,W923W924-AMPL
W925W926,,AMPL,W925W926-AMPL
W721W935,,AMPL,W721W935-AMPL
W939W940,,AMPL,W939W940-AMPL
W942W943,,AMPL,W942W943-AMPL
W946W947,,AMPL,W946W947-AMPL
W948W949,,AMPL,W948W949-AMPL
W950W951,,AMPL,W950W951-AMPL
W952W953,,AMPL,W952W953-AMPL
W954W955,,AMPL,W954W955-AMPL
W956W957,,AMPL,W956W957-AMPL
W958W959,,AMPL,W958W959-AMPL
W960W961,,AMPL,W960W961-AMPL
W962W963,,AMPL,W962W963-AMPL
W964W965,,AMPL,W964W965-AMPL
W966W967,,AMPL,W966W967-AMPL
W968W969,,AMPL,W968W969-AMPL
W970,,AMPL,W970-AMPL
W971,,AMPL,W971-AMPL
W975W976,,AMPL,W975W976-AMPL
W977W978,,AMPL,W977W978-AMPL
W979W980,,AMPL,W979W980-AMPL
W981W489,,AMPL,W981W489-AMPL
W982W983,,AMPL,W982W983-AMPL
W984W985,,AMPL,W984W985-AMPL
W990W991,,AMPL,W990W991-AMPL
X,,AMPL,X-AMPL
Y,,AMPL,Y-AMPL
Y000Y001Y045,3DD.003C0032BF,QUHO,Y000Y001Y045-QUHO
Y000Y001Y045,3DD.003C0032CA,QUHO,Y000Y001Y045-QUHO
Y002Y014,3DD.003C003298,QUHO,Y002Y014-QUHO
Y002Y014,3DD.003C07F8B6,QUHO,Y002Y014-QUHO
Y003Y013,3DD.003C00328E,QUHO,Y003Y013-QUHO
Y003Y013,3D6.1D593063F9,QUHO,Y003Y013-QUHO
Y003Y013,3DD.003C07F8B4,QUHO,Y003Y013-QUHO
Y004,3DD.003C0032B5,QUHO,Y004-QUHO
Y004Y005,,AMPL,Y004Y005-AMPL
Y004Y005,,AMPL,Y004Y005-AMPL
Y005,3DD.003C0032A1,QUHO,Y005-QUHO
Y006,3DD.003C003297,QUHO,Y006-QUHO
Y006Y009,3DD.003C07F8CB,QUPE,Y006Y009-QUPE
Y007,3DD.003C0032B3,QUHO,Y007-QUHO
Y007Y008,,AMPL,Y007Y008-AMPL
Y007Y008,,AMPL,Y007Y008-AMPL
Y008,3DD.003C003272,QUHO,Y008-QUHO
